date,calendar_code,request_count,site_count,max_temp,min_temp,precipitation,events
2014-12-27,0.0,138,10,13.3,-1.1,0.0,None
2014-12-28,0.0,160,10,13.9,1.7,1.5,Rain
2014-12-29,0.0,135,11,8.3,1.1,0.0,None
2014-12-30,0.0,172,11,3.9,-3.3,0.0,None
2014-12-31,0.0,184,10,1.1,-6.7,0.0,None
2015-01-01,0.0,151,7,5.6,-5.0,0.0,None
2015-01-02,0.0,182,9,6.1,-2.8,0.0,None
2015-01-03,0.0,223,10,6.1,-4.4,14.5,Rain
2015-01-04,0.0,195,11,16.7,5.0,8.4,Fog-Rain
2015-01-05,0.0,180,12,9.4,-4.4,0.0,None
2015-01-06,0.0,213,12,-3.3,-10.0,3.8,Fog-Snow
2015-01-07,0.0,237,12,-4.4,-11.1,0.0,None
2015-01-08,0.0,214,11,-6.7,-13.3,0.0,None
2015-01-09,0.0,293,11,2.2,-6.7,0.3,Snow
2015-01-10,0.0,276,12,-5.0,-11.7,0.0,None
2015-01-11,0.0,281,10,5.0,-11.7,0.0,None
2015-01-12,0.0,232,12,3.3,0.6,18.0,Rain
2015-01-13,0.0,212,13,3.3,-5.0,0.0,None
2015-01-14,0.0,237,13,0.6,-6.1,0.0,None
2015-01-15,0.0,214,13,2.8,-2.8,0.0,None
2015-01-16,0.0,304,13,7.2,-4.4,0.0,None
2015-01-17,0.0,327,13,0.0,-8.3,0.0,None
2015-01-18,0.0,343,12,6.1,-2.8,42.4,Rain
2015-01-19,0.0,229,15,7.2,-1.1,0.0,None
2015-01-20,0.0,219,16,7.8,-2.8,0.0,None
2015-01-21,0.0,321,16,1.1,-3.9,2.0,Fog-Snow
2015-01-22,0.0,257,15,5.0,-2.2,0.3,Snow
2015-01-23,0.0,322,15,5.0,-3.9,5.8,Rain-Snow
2015-01-24,0.0,329,15,3.3,0.6,16.5,Rain
2015-01-25,0.0,265,14,9.4,0.0,0.0,Rain
2015-01-26,0.0,258,14,1.7,-2.2,1.0,Snow
2015-01-27,0.0,266,16,1.1,-5.6,0.0,None
2015-01-28,0.0,267,16,1.1,-7.2,0.0,None
2015-01-29,0.0,247,15,1.1,-10.0,0.0,Snow
2015-01-30,0.0,404,15,5.6,-6.7,0.0,Snow
2015-01-31,0.0,397,15,-1.7,-10.0,0.0,None
2015-02-01,0.0,321,14,5.0,-7.2,1.5,Snow
2015-02-02,0.0,268,15,5.0,-5.0,20.1,Rain
2015-02-03,0.0,235,16,-0.6,-7.2,0.0,None
2015-02-04,0.0,327,16,8.9,-5.0,0.0,None
2015-02-05,0.0,283,16,4.4,-8.9,0.0,Snow
2015-02-06,0.0,406,16,0.0,-11.1,0.0,None
2015-02-07,0.0,410,15,6.7,-8.3,0.0,None
2015-02-08,0.0,365,16,11.7,-0.6,0.0,None
2015-02-09,1.0,305,16,3.3,-1.7,0.3,Rain-Snow
2015-02-10,1.0,257,16,6.1,-2.2,0.0,None
2015-02-11,1.0,309,17,4.4,-3.9,0.0,None
2015-02-12,1.0,318,16,5.0,-7.8,0.0,None
2015-02-13,1.0,533,17,-3.9,-12.2,0.0,None
2015-02-14,1.0,531,17,0.0,-8.9,3.3,Fog-Snow
2015-02-15,1.0,593,16,-8.9,-13.9,0.0,Snow
2015-02-16,1.0,405,15,-8.9,-16.7,0.8,Snow
2015-02-17,1.0,423,16,-3.9,-10.6,5.6,Snow
2015-02-18,1.0,377,17,-1.1,-15.0,0.0,Snow
2015-02-19,1.0,391,17,-6.1,-14.4,0.0,None
2015-02-20,1.0,556,16,-7.8,-16.7,0.0,None
2015-02-21,1.0,210,15,0.6,-16.1,17.0,Fog-Rain-Snow
2015-02-22,1.0,473,15,6.1,0.0,5.8,Rain
2015-02-23,1.0,327,16,2.2,-10.6,0.0,None
2015-02-24,1.0,395,17,-5.0,-14.4,0.0,None
2015-02-25,1.0,398,16,3.3,-11.7,0.0,None
2015-02-26,1.0,378,15,0.6,-3.9,0.3,Snow
2015-02-27,1.0,556,16,-1.7,-6.7,0.3,Snow
2015-02-28,1.0,570,14,-0.6,-10.0,0.0,None
2015-03-01,1.0,615,16,0.0,-8.3,13.7,Rain-Snow
2015-03-02,1.0,369,16,3.3,-2.8,0.0,None
